Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans,Amount,Total Cost,Total Volume of Bookings
K2615,Yahoo - US,4.3E+16,fly to florence,Advanced,Western Europe Destinations,Florence,uncategorized,,Unassigned,Live,$6.25 ,1,$2.31 ,$2.31 ,11,9.09%,1.27,900.00%,$0.26 ,"$8,777.95 ",$2.31 ,9
K2615,Yahoo - US,4.3E+16,low international airfare,Advanced,Geo Targeted DC,Low International DC,uncategorized,,Unassigned,Paused,$6.25 ,1,$0.63 ,$0.63 ,6,16.67%,1,100.00%,$0.63 ,"$1,574.20 ",$0.63 ,1
K2003,MSN - Global,4.3E+16,air discount france ticket,Broad,Air France Brand & French Destinations,France,uncategorized,Position 2-5 Bid Strategy,Unassigned,Deactivated,$0.00 ,1,$0.39 ,$0.39 ,9,11.11%,1.11,100.00%,$0.39 ,$390.15 ,$0.39 ,1
K1175,Google - Global,4.3E+16,[airfrance],Exact,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,$7.50 ,59,$2.31 ,$0.04 ,401,14.71%,2,3.39%,$1.16 ,"$1,665.15 ",$2.31 ,2
K1123,Overture - Global,4.3E+16,air france online booking,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.25 ,8,$2.20 ,$0.28 ,318,2.52%,2.98,12.50%,$2.20 ,$935.00 ,$2.20 ,1
K1123,Overture - Global,4.3E+16,"airfrance,com",Standard,Unassigned,Unassigned,airfrancewebsite,Position 1-2 Target,Unassigned,Paused,$0.13 ,42,$5.25 ,$0.13 ,722,5.82%,1.13,4.76%,$2.63 ,"$1,817.30 ",$5.25 ,2
K435,Google - US,4.3E+16,paris cheap airline,Broad,Geo Targeted San Francisco,San Francisco to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,3,$5.21 ,$1.74 ,13,23.08%,1,33.33%,$5.21 ,"$1,685.55 ",$5.21 ,1
K1122,Overture - US,4.3E+16,airfrance.us,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,$0.33 ,47,$11.80 ,$0.25 ,547,8.59%,1.18,4.26%,$5.90 ,"$3,796.10 ",$11.80 ,2
K1123,Overture - Global,4.3E+16,air travel to paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Unavailable,$7.50 ,13,$5.21 ,$0.40 ,448,2.90%,1.86,7.69%,$5.21 ,"$1,513.00 ",$5.21 ,1
K1175,Google - Global,4.3E+16,air france site,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unassigned,Unavailable,$5.00 ,19,$8.24 ,$0.43 ,129,14.73%,1.03,5.26%,$8.24 ,"$2,348.55 ",$8.24 ,1
K1123,Overture - Global,4.3E+16,cheap fare to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,$0.69 ,29,$26.61 ,$0.92 ,559,5.19%,2.33,6.90%,$13.31 ,"$7,418.80 ",$26.61 ,2
K1122,Overture - US,4.3E+16,air france.com,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,$0.31 ,273,$46.35 ,$0.17 ,"3,171",8.61%,1.01,3.66%,$4.63 ,"$11,271.85 ",$46.35 ,10
K435,Google - US,4.3E+16,air france us,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,$10.00 ,231,$99.55 ,$0.43 ,"1,277",18.09%,1.02,8.66%,$4.98 ,"$23,076.65 ",$99.55 ,20
K435,Google - US,4.3E+16,airfrance,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Paused,$10.00 ,907,$235.11 ,$0.26 ,"4,352",20.84%,1.01,2.87%,$9.04 ,"$48,551.15 ",$235.11 ,26
K1122,Overture - US,4.3E+16,cdg flight,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,$0.13 ,18,$4.75 ,$0.26 ,169,10.65%,1.66,5.56%,$4.75 ,$896.75 ,$4.75 ,1
