"Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Status","Search Engine Bid","Clicks","Avg Cost per Click","Impressions","Engine Click Thru Percent","Avg Pos","Trans Conv Percent","Total Cost/Trans","Amount","Total Cost","Total Volume of Bookings"
"K2615","Yahoo - US","43000000039657988","fly to florence","Advanced","Western Europe Destinations","Florence","uncategorized","No Strategy","Live",6.25,1,2.31,11,9.09,1.27,900,0.26,8777.95,2.31,9
"K2615","Yahoo - US","43000000039651113","low international airfare","Advanced","Geo Targeted DC","Low International DC","uncategorized","No Strategy","Paused",6.25,1,0.63,6,16.67,1,100,0.63,1574.2,0.63,1
"K2003","MSN - Global","43000000019452431","air discount france ticket","Broad","Air France Brand & French Destinations","France","uncategorized","Position 2-5 Bid Strategy","Deactivated",0,1,0.39,9,11.11,1.11,100,0.39,390.15,0.39,1
"K1175","Google - Global","43000000005663331","[airfrance]","Exact","Air France Global Campaign","Air France","airfrance","Position 1-3","Unavailable",7.5,59,0.04,401,14.71,2,3.39,1.16,1665.15,2.31,2
"K1123","Overture - Global","43000000005421354","air france online booking","Standard","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",0.25,8,0.28,318,2.52,2.98,12.5,2.2,935,2.2,1
"K1123","Overture - Global","43000000005421146","airfrance,com","Standard","Unassigned","Unassigned","airfrancewebsite","Position 1-2 Target","Paused",0.13,42,0.13,722,5.82,1.13,4.76,2.63,1817.3,5.25,2
"K435","Google - US","43000000014110441","paris cheap airline","Broad","Geo Targeted San Francisco","San Francisco to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,3,1.74,13,23.08,1,33.33,5.21,1685.55,5.21,1
"K1122","Overture - US","43000000014278681","airfrance.us","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Paused",0.33,47,0.25,547,8.59,1.18,4.26,5.9,3796.1,11.8,2
"K1123","Overture - Global","43000000005421374","air travel to paris","Standard","Unassigned","Unassigned","paris","Position 1-2 Target","Unavailable",7.5,13,0.4,448,2.9,1.86,7.69,5.21,1513,5.21,1
"K1175","Google - Global","43000000019449172","air france site","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","No Strategy","Unavailable",5,19,0.43,129,14.73,1.03,5.26,8.24,2348.55,8.24,1
"K1123","Overture - Global","43000000005421298","cheap fare to paris","Advanced","Unassigned","Unassigned","paris","Position 1-2 Target","Sent",0.69,29,0.92,559,5.19,2.33,6.9,13.31,7418.8,26.61,2
"K1122","Overture - US","43000000014278799","air france.com","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Paused",0.31,273,0.17,3171,8.61,1.01,3.66,4.63,11271.85,46.35,10
"K435","Google - US","43000000017532136","air france us","Broad","Air France Branded","Air France Website","uncategorized","No Strategy","Live",10,231,0.43,1277,18.09,1.02,8.66,4.98,23076.65,99.55,20
"K435","Google - US","43000000017532129","airfrance","Broad","Air France Branded","Air France Website","uncategorized","No Strategy","Paused",10,907,0.26,4352,20.84,1.01,2.87,9.04,48551.15,235.11,26
"K1122","Overture - US","43000000014278804","cdg flight","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Paused",0.13,18,0.26,169,10.65,1.66,5.56,4.75,896.75,4.75,1
"K435","Google - US","43000000017532133","airfrance us","Broad","Air France Branded","Air France Website","uncategorized","No Strategy","Live",10,207,0.15,730,28.36,1,2.42,6.16,5733.25,30.79,5
"K435","Google - US","43000000014113402","france airline ticket","Broad","Geo Targeted New York","New York to France Sale","uncategorized","Position 5-10 Bid Strategy","Live",6.25,2,1.34,24,8.33,1.54,50,2.69,494.7,2.69,1
"K435","Google - US","43000000013069003","airfrance website","Broad","Air France Branded","Air France Website","uncategorized","Position 2-5 Bid Strategy","Live",0.71,10,0.99,80,12.5,1.06,10,9.94,1815.6,9.94,1
"K1123","Overture - Global","43000000005420920","airplane france ticket","Advanced","Unassigned","Unassigned","airline","Position 1-2 Target","Paused",0.44,16,0.52,6073,0.26,2.46,6.25,8.31,1473.9,8.31,1
"K435","Google - US","43000000014115425","france airfare sale","Broad","Geo Targeted Miami","Miami to France Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,1,2.76,2,50,1,100,2.76,470.05,2.76,1
"K1123","Overture - Global","43000000005421434","air france schedule","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",0.33,30,0.36,2192,1.37,1.52,3.33,10.71,1785,10.71,1
"K1123","Overture - Global","43000000009683629","airfare to tahiti","Standard","Unassigned","Unassigned","tahiti","No Strategy","Paused",10,6,2.05,102,5.88,4.16,16.67,12.27,1989,12.27,1
"K435","Google - US","43000000014122527","france flights","Broad","Geo Targeted DC","DC to France Sale","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,6,3.06,137,4.38,1.2,50,6.12,2810.1,18.35,3
"K435","Google - US","43000000014201100","international airfares","Broad","Geo Targeted Detroit","International Detroit","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,2,3.3,79,2.53,3.01,50,6.6,923.95,6.6,1
"K435","Google - US","43000000014113704","france air ticket","Broad","Geo Targeted New York","New York to France Sale","uncategorized","Position 5-10 Bid Strategy","Live",6.25,12,1.62,116,10.34,1.09,33.33,4.85,2706.4,19.4,4
"K1122","Overture - US","43000000017532937","airfrance.com/us","Standard","Unassigned","Unassigned","airfrance","No Strategy","Paused",7.5,17,0.33,98,17.35,0.96,5.88,5.59,778.6,5.59,1
"K435","Google - US","43000000014127450","paris cheap ticket","Broad","Geo Targeted Boston","Boston to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,3,1.71,18,16.67,1.83,33.33,5.14,676.6,5.14,1
"K435","Google - US","43000000014118997","paris cheap flights","Broad","Geo Targeted Houston","Houston to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,21,2.07,174,12.07,1.32,14.29,14.46,5638.05,43.39,3
"K1122","Overture - US","43000000007003938","tunis","Standard","Unassigned","Unassigned","regional","Position 1-4 Bid Strategy","Paused",11.25,36,0.7,832,4.33,1.41,8.33,8.46,3254.65,25.37,3
"K2615","Yahoo - US","43000000029356928","france travel agency","Standard","Paris & France Terms","France","uncategorized","No Strategy","Live",6.25,5,3.09,167,2.99,1.24,40,7.72,1978.8,15.44,2
"K1175","Google - Global","43000000005663431","air france airlines","Broad","Air France Global Campaign","Air France","airfrance","Position 1-3","Unavailable",1.25,228,0.24,3747,6.08,1.42,1.75,13.83,6873.1,55.31,4
"K1175","Google - Global","43000000005663208","lyon airfare","Broad","Air France Global Campaign","Lyon","lyon","Position 1-3","Unavailable",1.25,12,1.25,1030,1.17,1.31,16.67,7.51,1836,15.02,2
"K1123","Overture - Global","43000000005421430","air france web site","Standard","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",0.29,17,0.32,752,2.26,2.22,5.88,5.39,637.5,5.39,1
"K1175","Google - Global","43000000005648300","cont:air france global campaign::france","N/A","Air France Global Campaign","France","uncategorized","No Strategy","Unavailable",7.5,49,0.22,4780,1.03,4.84,2.04,11,1296.25,11,1
"K435","Google - US","43000000017532124","airfrance.com","Broad","Air France Branded","Air France Website","uncategorized","No Strategy","Live",10,1260,0.29,6231,20.22,1.01,2.54,11.43,42538.25,365.8,32
"K2615","Yahoo - US","43000000027382609","airfrance.us","Advanced","Air France Branded","Air France Website","uncategorized","No Strategy","Live",7.5,242,0.36,1371,17.65,1.02,5.79,6.26,10140.5,87.57,14
"K435","Google - US","43000000013136095","book airfrance","Broad","Air France Branded","Air France Brand","uncategorized","Position 1-2 Target","Live",10,4,1.5,43,9.3,1.09,25,6,671.5,6,1
"K1175","Google - Global","43000000005663350","nice flight","Broad","Air France Global Campaign","Nice","nice","Position 1-3","Unavailable",1.25,28,1.3,2356,1.19,1.55,10.71,12.14,3944,36.42,3
"K435","Google - US","43000000017532142","airfrance.us","Broad","Air France Branded","Air France Website","uncategorized","No Strategy","Live",10,25,0.28,132,18.94,1,4,6.95,751.4,6.95,1
"K2615","Yahoo - US","43000000039658517","rome travel","Advanced","Western Europe Destinations","Rome","uncategorized","No Strategy","Live",2.7,27,2.09,1051,2.57,2.86,14.81,14.1,5729,56.41,4
"K435","Google - US","43000000007147583","rabat flights","Broad","Google_Yearlong 2006","Google|rabat","uncategorized","Position 1-4 Bid Strategy","Paused",6.25,11,1.28,361,3.05,1.14,9.09,14.07,1402.5,14.07,1
"K2615","Yahoo - US","43000000027382580","airfrance,com","Advanced","Air France Branded","Air France Website","uncategorized","No Strategy","Live",7.5,48,0.15,298,16.11,1,2.08,7.31,718.25,7.31,1
"K1123","Overture - Global","43000000005420948","air france phone number","Standard","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",0.13,65,0.15,1831,3.55,2.48,1.54,9.71,947.75,9.71,1
"K1122","Overture - US","43000000014278767","airline ticket to france","Standard","Unassigned","Unassigned","france","Position 1-4 Bid Strategy","Paused",1.26,14,0.73,225,6.22,2.1,7.14,10.26,991.1,10.26,1
